20148.1204509, 11024.7240557, 27164.7528309, 25049.2286209, 23423.2812637, 19602.4416637, 28020.721277, 26616.6252514, 0,5
8286.38478006, 1967.65857366, 22679.1174852, 8476.79216693, 15501.8004029, 11127.0253673, 24106.1546114, 3961.24592227, 0,6
15682.0130449, 3293.60202177, 15387.9333563, 16642.1764938, 22260.8900801, 20343.8395744, 27734.1762424, 29021.8214572, 0,5
26426.9810638, -1120, 20683.6441929, 17720.0817425, 19436.4085978, 11492.6927033, 14151.6871876, 31304.8305436, 0,6
16966.5845297, 948.154662546, 12965.0044481, 19008.0408524, 18347.4588038, 19289.6560725, 29423.4144586, 11295.7265956, 0,5
22407.1028814, 7680.47129178, 15821.0514322, 26357.4863768, 35145.4504985, 16084.8662558, 18695.9757365, 22260.3586577, 0,6
6841.44231644, 3055.00944776, 16866.4292136, 14160.4330312, 9381.38820156, 27782.9816493, 26157.1456766, 21042.6475514, 0,5
25697.9280543, 4745.77058679, 19294.9404854, 29906.9242903, 13803.9844108, 37960.7572485, 27931.8415831, 26561.5282779, 0,6
26850.2710162, -1120, 23657.130424, -1120, 17145.1615476, 17348.5049074, 20812.0162488, 29306.7027561, 0,5
16254.8496593, 1028.78938358, 22883.4483136, 19789.5043134, 16335.1323555, 19695.4349492, 17979.4442173, 18373.2414944, 0,6
17504.3677615, 6484.25559602, 10014.0518353, 19178.1839202, 15161.9317826, 33514.1653782, 15708.6204011, 15282.7031938, 0,5
18043.3766542, 9190.92840681, 16035.4365993, 20276.9581803, 21850.2331435, 18027.2486276, 14134.9989523, 14605.2861445, 0,6
22215.4323337, -1120, 5459.22266024, 21600.2351016, 24793.4709748, 25207.3090962, 24374.7533597, 31940.9115344, 0,5
15894.0496296, 4198.26086134, 25983.9187847, 18658.9460514, 18016.919587, 21008.2750713, 17038.7472055, 12777.6581571, 0,6
10416.615486, 12350.3682224, 14181.4000435, 16316.2306655, 12418.4860749, 17263.4274191, 25873.6503642, 24060.232881, 0,5
11465.1741603, 6163.70820044, 21792.9309044, 16963.6143813, 39211.3304762, 26151.7852253, 12384.0733648, 19687.8947416, 0,6
15880.3777212, -1120, 23198.9836969, 29602.2270953, 22267.942318, 39251.679281, 21793.1898119, 16412.3066936, 0,5
11223.0246192, 2712.66445922, 18572.7097213, 19764.2522615, 29964.9567556, 18532.2910497, 18834.9975831, 23484.9991018, 0,6
17905.2896123, 1332.60467746, 18197.2438006, 21550.7512839, 14718.6616081, 27898.7676653, 21266.1396707, 18372.8833413, 0,5
19766.800251, 4864.97874615, 17726.276989, 18652.3717748, 29551.3127549, 19183.1684686, 3256.57819859, 25038.8944517, 0,6
6711.98272992, 3268.48156201, 17141.6375382, 16580.6564145, 31770.2404819, 14118.9963429, 18281.842927, 24849.9757283, 0,5
18050.7049898, 775.574908269, 10860.8628121, 22368.0563627, 25443.5487631, 26333.212594, 9732.66450981, 13460.8192327, 0,6
10494.8188438, 4780.67997727, 16486.3061592, 23832.704789, 28298.0553739, 28371.3011687, 21702.0307008, 35586.3930658, 0,5
23384.0089606, 3714.95811663, 13515.6278785, 32229.3562949, 27171.8640283, 25348.2862751, 32409.4714415, 19470.9683609, 0,6
23228.3388549, 4038.31007659, 15215.2246478, 4275.55937398, 36798.7254476, 10928.9346552, 30305.5595512, 24240.6448029, 0,5
21131.2278539, 2358.72484041, 16450.573574, 23603.6344715, 14826.9814134, 20143.8342897, 12516.3530488, 33466.1161115, 0,6
22709.0661285, 865.256758329, 27334.9359829, 21257.886174, 23914.6359008, 21666.0107968, 13183.3153496, 18802.1721664, 0,5
23605.6910128, -141.026780069, 17267.296327, 22214.3035982, 26546.7017343, 20282.8139438, 14093.7886092, 23174.2020759, 0,6
16217.9737011, 800.827560589, 20321.073858, 13997.6767297, 28770.300493, 19471.0554634, 19425.7290665, 25247.1159272, 0,5
20616.0898919, 3839.57193233, 12798.8390234, 9046.63461322, 19212.6093285, 17729.9966439, 31871.0074731, 16033.6105191, 0,6
14838.7174677, 10752.6124551, 11941.9417689, 19933.1895611, 20346.5116853, 26166.9016789, 12671.2022978, 21379.1779442, 0,5
14060.1394286, -1120, 20268.6917695, 20594.0462914, 23285.6351592, 21499.6103412, 25356.127456, 21168.3054951, 0,6
12353.3491268, 9158.76603151, 9427.58950923, 29525.7158119, 12744.8899478, 16739.4643087, 16225.3200989, 15849.749011, 0,5
13050.8350362, 3917.58827877, 16587.8924305, 10803.1566355, 16929.9833139, 18611.8595873, 23851.337667, 17753.9785449, 0,6
22875.96732, -1120, 14583.369628, 22641.0768962, 27159.5119655, 16943.4699891, 21964.4065649, 7172.59747897, 0,5
17852.0492903, -1120, 21503.6161545, 16722.2236281, 13205.4589545, 24053.0152459, 19341.2926703, 19542.4785401, 0,6
26468.7683419, -1120, 15846.4248953, 17179.3742636, 13110.9052811, 32295.9479008, 29336.840512, 40960.420379, 0,5
27300.5477399, -1120, 21441.2463929, 24468.6011718, 19040.3489172, 24763.049208, 11914.1830113, 19600.0178914, 0,6
18375.1414686, 838.940318292, 19111.4530167, 17386.2962742, 15338.8789186, 17318.223752, 31295.6025139, 21488.3410065, 0,5
14533.690296, 5537.98115866, 13148.9212299, 21084.3362637, 19500.2346464, 10743.3623466, 10667.6744556, 13483.2684759, 0,6
11246.2868735, 7481.62413309, 21110.8316603, 4997.92478202, 20916.2629763, 10019.9353563, 24499.5482492, 16197.8554211, 0,5
15874.5454224, 542.410847975, 22242.963284, 6775.47827107, 38568.8584271, 36378.3919267, 20038.7145671, 24724.8775716, 0,6
