10025.0226039, 4323.52364796, 6926.25061077, 17711.2971662, 21879.7676113, 17524.7544983, 16964.4435943, 2,0.6
16438.3090723, 6146.56408617, 11223.8917576, 14187.1931434, 17198.4909067, 23605.7140653, 27316.340453, 0,0.6
6658.32901202, 7013.79780819, 19401.2731876, 20912.6313963, 15545.7052788, 27185.3566643, 25521.4236942, 2,0.6
12985.4637304, 13728.9287166, 7635.78755681, 26419.5659243, 22217.4759859, 14161.385524, 28589.3179008, 0,0.6
15014.5156239, 4055.88974564, 14383.8270891, 20443.6527011, 16840.1593061, 30714.0995139, 18964.4377877, 2,0.6
20259.6029927, 1596.15518148, 21647.0412312, 8561.73993265, 33036.1595454, 26065.2288525, 25057.0978444, 0,0.6
20133.8714436, 1033.31660501, 19153.6326417, 19974.8933184, 17691.9008575, 23285.8029689, 27473.8904256, 2,0.6
6797.43243271, 5296.56483052, 22407.5569428, 21230.6714794, 17711.1334198, 27032.4525599, 34654.1853435, 0,0.6
12974.3293088, -1200, 29378.3066333, 25791.1926019, 22264.8094867, 25644.3543845, 13474.3632937, 2,0.6
13730.8057601, 10377.7001206, 8566.05077038, 15306.8848978, 24736.4072502, 18494.6416685, 17565.9291802, 0,0.6
15152.0839305, 3293.23694517, 19079.2979078, 17183.5421868, 15920.9709, 24309.6322252, 30530.6769489, 2,0.6
1495.14777318, 96.6022623141, 21672.5576225, 10929.8020425, 19768.6358674, 22131.4617444, 15340.5366426, 0,0.6
15444.9603139, 1530.97299174, 22985.5585744, 25771.0185566, 14345.6815893, 13371.3323214, 23503.2610196, 2,0.6
9572.97176825, 10892.6699874, 5741.47315115, 18520.9587243, 17816.5347569, 16834.7310421, 21367.8127676, 0,0.6
22944.5044813, 663.232533702, 20079.7692183, 34951.3142836, 17043.5508655, 22475.1216451, 18537.659393, 2,0.6
19429.4572764, -1200, 23378.853572, 13185.8439903, 21314.0875662, 12082.0848958, 18655.4312688, 0,0.6
26368.9980974, -1200, 27423.1729447, 17070.0407005, 27222.1396521, 24225.2041736, 32086.5433356, 2,0.6
16379.5260145, 3132.64311623, 15889.1489106, 20349.0167002, 17495.909812, 36864.6864029, 33355.0597783, 0,0.6
18498.9932267, -1200, 7719.62066677, 18090.214748, 14844.2774837, 23427.8864592, 9662.21116571, 2,0.6
16268.7645503, -1200, 19096.7138973, 9962.00774844, 30244.1832192, 29142.9497704, 7817.57204739, 0,0.6
18495.9929313, 881.377777303, 14237.320382, 24586.3929604, 25044.4425892, 28702.4392094, 29516.8164335, 2,0.6
22617.0186847, -1200, 21917.8094703, 11999.8031934, 15015.0270903, 24458.6646081, 24738.5400542, 0,0.6
23901.2322042, 4064.45860068, 13506.8690028, 28472.2122426, 35890.1252361, 24685.1721765, 16415.6057238, 2,0.6
15443.8212394, 6024.24081918, 12389.4589111, 23353.0369179, 21767.9971985, 21712.3202689, 19726.485002, 0,0.6
15137.0898307, -190.555472389, 22497.0323223, 12018.3923772, 34044.1898982, 25016.4472174, 29797.4024048, 2,0.6
16312.006791, 7288.23234586, 18381.1460091, 16716.0736905, 10352.7718617, 16107.545642, 34038.4144872, 0,0.6
5536.74994174, 4272.75773208, 15015.7385145, 19192.5819639, 7613.42745476, 18016.4279193, 34645.7779366, 2,0.6
19540.5244994, 6724.25761348, 20802.9016378, 6832.04857979, 21407.6791953, 18510.6283192, 19409.391389, 0,0.6
14893.6990898, 8377.99054635, 14052.8737172, 17083.8089895, 18747.9824493, 15379.7381611, 22219.6743389, 2,0.6
6738.2725254, 3400.31114231, 5478.06070599, 15789.5738858, 26298.295833, 16238.580323, 21804.2129325, 0,0.6
16295.8734936, 17417.0107867, 15036.5209758, 22824.779082, 26727.0348945, 32306.2493813, 22494.6139857, 2,0.6
13948.5601232, 9395.96060284, 26230.3304074, 25248.6558112, 19166.1202162, 25197.6163324, 19462.3220158, 0,0.6
22420.1065761, -1200, 22892.601586, 22123.7159891, 32310.3280052, 10695.5374107, 13680.956198, 2,0.6
10050.4527581, 17091.8931988, 10501.9488871, 20686.1937907, 20146.6145855, 26076.8268347, 24576.3255192, 0,0.6
12348.9534825, 8382.57266499, 10011.9366465, 29302.6016781, 26990.3528629, 34026.0390111, 18213.1415363, 2,0.6
9021.68044694, 5260.19470276, 14048.7430402, 21256.1281074, 24170.5829062, 30341.5831469, 19642.1726831, 0,0.6
19061.733082, 2053.68024578, 7071.6792832, 25172.1468849, 6222.39147239, 23413.2084934, 14880.8559402, 2,0.6
21488.0682268, -1200, 21192.2304042, 5122.94735326, 25880.2352643, 34341.8891448, 29732.3469304, 0,0.6
11491.740787, -1200, 18196.714221, 23385.6200976, 9742.67539429, 11375.8487835, 13970.0795536, 2,0.6
19021.9910199, 5146.35374228, 13849.9074928, 24448.6383918, 30698.9416176, 22871.0643148, 27686.8902022, 0,0.6
19758.1162021, 643.353198035, 13603.6534133, 32473.2050474, 28670.8665022, 16856.5259781, 31789.1998011, 2,0.6
13985.4287514, -1200, 7893.42507865, 29512.8195107, 18635.4133868, 27893.921831, 14733.5707611, 0,0.6
22502.8844388, -1200, 19817.1195466, 26714.5095047, 36268.9069805, 27856.4454959, 19885.5338547, 2,0.6
12101.1270399, 8313.02156958, 6566.92351462, 28582.2131863, 20779.02226, 24247.8131724, 28050.3522619, 0,0.6
15939.4208962, 10435.6542915, 8314.26178101, 25080.3597338, 20332.5866264, 30195.7994959, 18999.520207, 2,0.6
21600.5663451, -1200, 12617.5637791, 17026.0247681, 21164.7831607, 16274.5794653, 17874.6895664, 0,0.6
